AT1G77590,KAI7842012.1
AT2G04350,KAI7842012.1
AT1G32200,KAI7843474.1
AT1G32940,KAI7837690.1
AT4G30580,KAI7838407.1
AT1G15080,KAI7842352.1
AT2G01180,KAI7842352.1
AT3G50920,
AT5G03080,KAI7843901.1
AT5G66450,
AT3G09560,
AT3G58490,KAI7840444.1
AT2G11810,KAI7838470.1
AT4G31780,KAI7838470.1
AT5G20410,KAI7838470.1
CHLREDRAFT_32523,KAI7839181.1
AT3G11670,KAI7836746.1
AT4G00550,KAI7836746.1
AT2G45150,KAI7845500.1
AT3G60620,KAI7845500.1
AT4G26770,KAI7843445.1
AT2G39290,KAI7835424.1
AT3G58830,KAI7842791.1
AT1G62190,KAI7840074.1
AT2G22890,KAI7840074.1
AT4G27030,KAI7840074.1
AT3G11170,KAI7841385.1
AT5G05580,KAI7841385.1
AT5G01220,KAI7844922.1
AT5G60620,KAI7837992.1
AT1G51260,
AT1G75020,
AT3G18850,
AT3G57650,
AT1G62430,KAI7843445.1
AT4G22340,KAI7843445.1
AT1G68000,KAI7835388.1
AT4G38570,KAI7835388.1
AT5G42870,
AT1G13560,KAI7846212.1
AT3G25585,KAI7846212.1
AT3G12120,KAI7844594.1
Cre10.g453600,
AT1G11720,KAI7838523.1
AT3G01180,KAI7837587.1
AT4G18240,KAI7838523.1
AT5G24300,KAI7837587.1
